ID	name	country	weight_put_on_master_mix..g.	estimated.number.of.seeds.in.total
9586	IP-Tam-0	ESP	0.2119	11736
9587	IP-Tdc-0	ESP	0.3433	19014
9591	IP-Vad-0	ESP	0.3023	16743
9594	IP-Vdm-0	ESP	0.3052	16904
9595	IP-Vdt-0	ESP	0.2954	16361
9596	IP-Ver-5	ESP	0.3029	16776
9597	IP-Vig-1	ESP	0.3024	16749
9598	IP-Vim-0	ESP	0.3005	16643
9600	IP-Vis-0	ESP	0.3017	16710
9602	IP-Vpa-1	ESP	0.3198	17712
9606	Aitba-1	MAR	0.2903	16078
9612	Lesno-2	RUS	0.2992	16571
9619	Basta-1	RUS	0.3009	16666
9625	Kolyv-2	RUS	0.2984	16527
9629	K-oze-1	RUS	0.3027	16765
9632	Lebja-2	RUS	0.3027	16765
9634	Masl-1	RUS	0.2998	16605
9637	Noveg-2	RUS	0.3066	16981
9640	Rakit-1	RUS	0.3065	16976
9643	Sever-1	RUS	0.2981	16510
9649	Bivio-1	ITA	0.301	16671
9653	Giffo-1	ITA	0.3007	16654
9657	Melic-1	ITA	0.3026	16760
9659	Pigna-1	ITA	0.3004	16638
9697	Dolen-1	BUL	0.3037	16821
9698	Goced-1	BUL	0.3077	17042
9699	Kolar-1	BUL	0.3098	17158
9713	Stara-1	BUL	0.3048	16882
9716	Leska-1	BUL	0.302	16726
9719	Koren-1	BUL	0.2998	16605
9723	Slavi-2	BUL	0.3033	16798
9726	Faneronemi-3	GRC	0.3002	16627
9736	Teiu-2	ROU	0.3022	16738
9737	Ulies-1	ROU	0.2988	16549
9739	Toc-1	ROU	0.3033	16798
9741	Orast-1	ROU	0.2999	16610
9743	Furni-1	ROU	0.3031	16787
9748	Zagub-1	SRB	0.3017	16710
9749	Knjas-1	SRB	0.3038	16826
9758	Altai-5	CHN	0.3011	16677
9759	Anz-0	IRN	0.3053	16909
9761	Bilk-1	LBN	0.301	16671
9764	Qar-8a	LBN	0.2398	13281
9766	Westkar-4	KGZ	0.3028	16771
9769	HE-1	GER	0.2978	16494
9774	Alt-1	GER	0.3112	17236
9775	Berg-1	GER	0.2994	16582
9779	Bai-10	GER	0.309	17114
9781	Kus2-2	GER	0.3082	17070
9782	Lu3-30	GER	0.3002	16627
9784	Erg2-6	GER	0.3045	16865
9803	Muh-2	GER	0.3033	16798
9804	Obe1-15	GER	0.31	17170
9813	BI-4	GER	0.3329	18438
9814	Fell1-10	GER	0.3095	17142
9820	Are-0	ESP	0.3158	17491
9837	Con-0	ESP	0.30437	16858
9857	Leg-0	ESP	0.3089	17109
9879	Per-0	ESP	0.3028	16771
9910	BRI-2	FRA	0.3094	17136
9920	DIR-9	FRA	0.3059	16942
9921	FOR-23	FRA	0.3075	17031
9925	RUM-20	FRA	0.3031	16787
9933	VED-10	FRA	0.3034	16804
9940	Toufl-1	MAR	0.3031	16787
9941	Fei-0	POR	0.2987	16544
9944	Don-0	ESP	0.301	16671
9947	Ped-0	ESP	0.3021	16732
9965	Mammo-2	ITA	0.2454	13592
9966	Monte-1	ITA	0.1615	8945
9977	Vezzano2-1	ITA	0.1004	5561
9978	Vezzano2-2	ITA	0.066	3655
9985	Slavi-1	BUL	0.2487	13774
9992	Dog-4	TUR	0.3007	16654
10002	TueWa1-2	GER	0.2338	12949
10006	Kastel-1	UKR	0.3075	17031
10011	Yeg-1	ARM	0.0489	2708
10013	Lerik1-3	AZE	0.1704	9438
10014	Xan-1	AZE	0.3026	16760
100001	Ziv-24208	ISR	0.1032	5716
100002	Her-	ISR	0.0611	3384
