"r1filename","r2filename","sampleid","r1srafolder","r2srafolder","unit","platform","datereleased"
"MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010120190415","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190415/MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190415/MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010120190415","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190415/MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190415/MLFH_1_1_20190415_CKDL210000711-1a-AK34070-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010120190429","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190429/MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190429/MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010120190429","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190429/MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190429/MLFH_1_1_20190429_CKDL210000711-1a-7UDI1539-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010120190513","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190513/MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190513/MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010120190513","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190513/MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190513/MLFH_1_1_20190513_CKDL210000711-1a-7UDI1971-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLJFCCX2_L6_1.fq.gz","MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLJFCCX2_L6_2.fq.gz","MLFH010120190528","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190528/MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_1_20190528/MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLHHCCX2_L2_1.fq.gz","MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLHHCCX2_L2_2.fq.gz","MLFH010120190528","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190528/MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_1_20190528/MLFH_1_1_20190528_CKDL210000711-1a-AK11638-AK8191_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"21093FL-02-01-01_S1_L001_R1_001.fastq.gz","21093FL-02-01-01_S1_L001_R2_001.fastq.gz","MLFH010120200323","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-01_S1_L001_R1_001.fastq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-01_S1_L001_R2_001.fastq.gz",1,"ILLUMINA","2021-12-06-ath-release-11"
"21093FL-02-01-02_S2_L001_R1_001.fastq.gz","21093FL-02-01-02_S2_L001_R2_001.fastq.gz","MLFH010120200406","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-02_S2_L001_R1_001.fastq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-02_S2_L001_R2_001.fastq.gz",1,"ILLUMINA","2021-12-06-ath-release-11"
"21093FL-02-01-03_S3_L001_R1_001.fastq.gz","21093FL-02-01-03_S3_L001_R2_001.fastq.gz","MLFH010120200420","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-03_S3_L001_R1_001.fastq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-03_S3_L001_R2_001.fastq.gz",1,"ILLUMINA","2021-12-06-ath-release-11"
"21093FL-02-01-04_S4_L001_R1_001.fastq.gz","21093FL-02-01-04_S4_L001_R2_001.fastq.gz","MLFH010120200504","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-04_S4_L001_R1_001.fastq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-04_S4_L001_R2_001.fastq.gz",1,"ILLUMINA","2021-12-06-ath-release-11"
"21093FL-02-01-05_S5_L001_R1_001.fastq.gz","21093FL-02-01-05_S5_L001_R2_001.fastq.gz","MLFH010120200518","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-05_S5_L001_R1_001.fastq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-12-06-ath-release-11/21093-02/21093FL-02-01-05_S5_L001_R2_001.fastq.gz",1,"ILLUMINA","2021-12-06-ath-release-11"
"MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010220180409","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_2_20180409/MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_2_20180409/MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010220180409","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_2_20180409/MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_2_20180409/MLFH_1_2_20180409_CKDL210000711-1a-AK10689-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
"MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLJFCCX2_L6_1.fq.gz","MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLJFCCX2_L6_2.fq.gz","MLFH010220180423","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_2_20180423/MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLJFCCX2_L6_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-01-29-ath-release-01/raw_data/MLFH_1_2_20180423/MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLJFCCX2_L6_2.fq.gz",1,"ILLUMINA","2021-01-29-ath-release-01"
"MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLHHCCX2_L2_1.fq.gz","MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLHHCCX2_L2_2.fq.gz","MLFH010220180423","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_2_20180423/MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLHHCCX2_L2_1.fq.gz","/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/SRA/grenenet-phase1/2021-02-18-ath-release-03/raw_data/MLFH_1_2_20180423/MLFH_1_2_20180423_CKDL210000711-1a-AK34068-AK9050_HFLHHCCX2_L2_2.fq.gz",2,"ILLUMINA","2021-02-18-ath-release-03"
