"seedbankid","site","plot","date","comments"
"MLSB430720180612","43","07",2018-06-12,NA
"MLSB430820180612","43","08",2018-06-12,NA
"MLSB430920180612","43","09",2018-06-12,NA
"MLSB431020180612","43","10",2018-06-12,NA
"MLSB431120180612","43","11",2018-06-12,NA
"MLSB431220180612","43","12",2018-06-12,NA
"MLSB450120180717","45","01",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB450220180717","45","02",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB450320180717","45","03",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB450420180717","45","04",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB450520180717","45","05",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB450620180717","45","06",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB450720180717","45","07",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB450820180717","45","08",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB450920180717","45","09",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB451020180717","45","10",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB451120180717","45","11",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB451220180717","45","12",2018-07-17,"Soil bank from 9 points of each plot"
"MLSB460120180726","46","01",2018-07-26,NA
"MLSB460220180726","46","02",2018-07-26,NA
"MLSB460320180726","46","03",2018-07-26,NA
"MLSB460420180726","46","04",2018-07-26,NA
"MLSB460520180726","46","05",2018-07-26,NA
"MLSB460620180726","46","06",2018-07-26,NA
"MLSB460720180726","46","07",2018-07-26,NA
"MLSB460820180726","46","08",2018-07-26,NA
"MLSB460920180726","46","09",2018-07-26,NA
"MLSB461020180726","46","10",2018-07-26,NA
"MLSB461120180726","46","11",2018-07-26,NA
"MLSB461220180726","46","12",2018-07-26,NA
"MLSB490120180829","49","01",2018-08-29,"tray 50% empty"
"MLSB490220180829","49","02",2018-08-29,"tray suffered some digging, but not much substrate removed"
"MLSB490320180829","49","03",2018-08-29,"all ok"
"MLSB490420180829","49","04",2018-08-29,"all ok"
"MLSB490520180829","49","05",2018-08-29,"all ok"
"MLSB490620180829","49","06",2018-08-29,"tray 75% empty"
"MLSB490720180829","49","07",2018-08-29,"tray more than 75% empty (!! only 7 spoons SB)"
"MLSB490820180829","49","08",2018-08-29,"all ok"
"MLSB490920180829","49","09",2018-08-29,"all ok"
"MLSB491020180829","49","10",2018-08-29,"tray has some digging in one corner"
"MLSB491120180829","49","11",2018-08-29,"all ok"
"MLSB491220180829","49","12",2018-08-29,"all ok"
"MLSB520120180807","52","01",2018-08-07,"9 subsamples per tray taken with spoon"
"MLSB520220180807","52","02",2018-08-07,NA
"MLSB520320180807","52","03",2018-08-07,NA
"MLSB520420180807","52","04",2018-08-07,NA
"MLSB520520180807","52","05",2018-08-07,NA
"MLSB520620180807","52","06",2018-08-07,NA
"MLSB520720180807","52","07",2018-08-07,NA
"MLSB520820180807","52","08",2018-08-07,NA
"MLSB520920180807","52","09",2018-08-07,NA
"MLSB521020180807","52","10",2018-08-07,NA
"MLSB521120180807","52","11",2018-08-07,NA
"MLSB521220180807","52","12",2018-08-07,NA
"MLSB530120180808","53","01",2018-08-08,NA
"MLSB530220180808","53","02",2018-08-08,NA
"MLSB530320180808","53","03",2018-08-08,NA
"MLSB530420180808","53","04",2018-08-08,NA
"MLSB530520180808","53","05",2018-08-08,NA
"MLSB530620180808","53","06",2018-08-08,NA
"MLSB530720180808","53","07",2018-08-08,NA
"MLSB530820180808","53","08",2018-08-08,NA
"MLSB530920180808","53","09",2018-08-08,NA
"MLSB531020180808","53","10",2018-08-08,NA
"MLSB531120180808","53","11",2018-08-08,NA
"MLSB531220180808","53","12",2018-08-08,NA
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
"MLSB57NA20180705","57","NA",2018-07-05,"sent to Tubingen on July 7, 2018"
