CODES SITE PLOT DATE SAMPLE_ID NUMBER_FLOWERS_COLLECTED COMMENTS1 COMMENTS2 COMMENTS3 D RECODE
FH 4 2 20200212 FH-4-2-20200212 50 Random sample of available flowering plants (one week later). Several tiny plants with one flower (one fruit). A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-12 FH
FH 4 3 20200206 FH-4-3-20200206 30 Random sample of available flowering plants. Several tiny plants with one flower (one fruit). A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-06 FH
FH 4 4 20200206 FH-4-4-20200206 0 This tray has a handful of plants only. na NA 2020-02-06 FH
FH 4 5 20200206 FH-4-5-20200206 80 Random sample of available flowering plants. Several tiny plants with one flower (one fruit). A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-06 FH
FH 4 6 20200206 FH-4-6-20200206 43 Random sample of available flowering plants. Several tiny plants with one flower (one fruit). A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-06 FH
FH 4 7 20200212 FH-4-7-20200212 17 Random sample of available flowering plants (one week later). Low density. A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-12 FH
FH 4 8 20200212 FH-4-8-20200212 24 Random sample of available flowering plants (one week later). Low density. A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-12 FH
FH 4 9 20200206 FH-4-9-20200206 17 Random sample of available flowering plants. Several tiny plants with one flower (one fruit). A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-06 FH
FH 4 10 20200206 FH-4-10-20200206 20 Random sample of available flowering plants. Several tiny plants with one flower (one fruit). A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-06 FH
FH 4 11 20200212 FH-4-11-20200212 11 Random sample of available flowering plants (one week later). Low density. A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-12 FH
FH 4 12 20200212 FH-4-12-20200212 10 Random sample of available flowering plants (one week later). Low density. A second sampling was not possible as 15 days later all plants completed the cycle. na NA 2020-02-12 FH
FH 5 1 20200207 FH-5-1-20200207 105 na na NA 2020-02-07 FH
FH 5 2 20200207 FH-5-2-20200207 60 na na NA 2020-02-07 FH
FH 5 3 20200207 FH-5-3-20200207 30 na na NA 2020-02-07 FH
FH 5 4 20200207 FH-5-4-20200207 103 na na NA 2020-02-07 FH
FH 5 5 20200207 FH-5-5-20200207 103 na na NA 2020-02-07 FH
FH 5 6 20200207 FH-5-6-20200207 110 na na NA 2020-02-07 FH
FH 5 7 20200207 FH-5-7-20200207 30 na na NA 2020-02-07 FH
FH 5 8 20200207 FH-5-8-20200207 105 na na NA 2020-02-07 FH
FH 5 9 20200207 FH-5-9-20200207 105 na na NA 2020-02-07 FH
FH 5 10 20200207 FH-5-10-20200207 105 na na NA 2020-02-07 FH
FH 5 11 20200207 FH-5-11-20200207 36 na na NA 2020-02-07 FH
FH 5 12 20200207 FH-5-12-20200207 37 na na NA 2020-02-07 FH
FH 5 1 20200224 FH-5-1-20200224 105 na na NA 2020-02-24 FH
FH 5 2 20200224 FH-5-2-20200224 105 na na NA 2020-02-24 FH
FH 5 3 20200224 FH-5-3-20200224 42 na na NA 2020-02-24 FH
FH 5 4 20200224 FH-5-4-20200224 106 na na NA 2020-02-24 FH
FH 5 5 20200224 FH-5-5-20200224 100 na na NA 2020-02-24 FH
FH 5 6 20200224 FH-5-6-20200224 105 na na NA 2020-02-24 FH
FH 5 7 20200224 FH-5-7-20200224 30 na na NA 2020-02-24 FH
FH 5 8 20200224 FH-5-8-20200224 105 na na NA 2020-02-24 FH
FH 5 9 20200224 FH-5-9-20200224 105 na na NA 2020-02-24 FH
FH 5 10 20200224 FH-5-10-20200224 105 na na NA 2020-02-24 FH
FH 5 11 20200224 FH-5-11-20200224 105 na na NA 2020-02-24 FH
FH 5 12 20200224 FH-5-12-20200224 64 na na NA 2020-02-24 FH
FH 5 1 20200312 FH-5-1-20200312 105 na na NA 2020-03-12 FH
FH 5 2 20200312 FH-5-2-20200312 105 na na NA 2020-03-12 FH
FH 5 3 20200312 FH-5-3-20200312 100 na na NA 2020-03-12 FH
FH 5 4 20200312 FH-5-4-20200312 105 na na NA 2020-03-12 FH
FH 5 5 20200312 FH-5-5-20200312 105 na na NA 2020-03-12 FH
FH 5 6 20200312 FH-5-6-20200312 103 na na NA 2020-03-12 FH
FH 5 7 20200312 FH-5-7-20200312 62 na na NA 2020-03-12 FH
FH 5 8 20200312 FH-5-8-20200312 105 na na NA 2020-03-12 FH
FH 5 9 20200312 FH-5-9-20200312 105 na na NA 2020-03-12 FH
FH 5 10 20200312 FH-5-10-20200312 105 na na NA 2020-03-12 FH
FH 5 11 20200312 FH-5-11-20200312 105 na na NA 2020-03-12 FH
FH 5 12 20200312 FH-5-12-20200312 88 na na NA 2020-03-12 FH
SB 6 2 20200721 SB-06-02-20200721 na na na NA 2020-07-21 SB
SB 6 3 20200721 SB-06-03-20200721 na na na NA 2020-07-21 SB
SB 6 5 20200721 SB-06-05-20200721 na na na NA 2020-07-21 SB
SB 6 6 20200721 SB-06-06-20200721 na na na NA 2020-07-21 SB
SB 6 7 20200721 SB-06-07-20200721 na na na NA 2020-07-21 SB
SB 6 8 20200721 SB-06-08-20200721 na na na NA 2020-07-21 SB
SB 6 9 20200721 SB-06-09-20200721 na na na NA 2020-07-21 SB
