SITE PLOT DATE RECORD_ID DIAGONAL_PLANT_NUMBER OFF.DIAGONAL_PLANT_NUMBER TOTAL_PLANT_NUMBER..OPTIONAL. MEAN_FRUITS_PER_PLANT..OPTIONAL. SD_FRUITS_PER_PLANT..OPTIONAL. COMMENTS COMMENTS2 D
1 12 20200323 1-12-20200334 7 4 42    NA 2020-03-23
42 1 20200331 42-1-20200331 57 25     NA 2020-03-31
42 2 20200331 42-2-20200331 17 20     NA 2020-03-31
42 3 20200331 42-3-20200331 7 8     NA 2020-03-31
42 4 20200331 42-4-20200331 7 12     NA 2020-03-31
42 5 20200331 42-5-20200331 11 8     NA 2020-03-31
42 6 20200331 42-6-20200331 7 14     NA 2020-03-31
42 7 20200331 42-7-20200331 24 16     NA 2020-03-31
42 8 20200331 42-8-20200331 24 19     NA 2020-03-31
42 9 20200331 42-9-20200331 7 11     NA 2020-03-31
42 10 20200331 42-10-20200331 7 12     NA 2020-03-31
42 11 20200331 42-11-20200331 0 2     NA 2020-03-31
42 12 20200331 42-12-20200331 6 3     NA 2020-03-31
46 NA 20200403       Unfortunately, it was impossible to count the number of plants since there were hundreds of small individuals per plot (diameter <2 mm). NA 2020-04-03
52 1 20200316 52-01-20200316   30   In general (across all plots and dates in 2020): often more plants along the outer rim of the box, where soils is depressed and shadow. In the center of teh plots , soil is deeper=higher, but plants seem to die quieckly here NA 2020-03-16
52 2 20200316 52-02-20200316   1    NA 2020-03-16
52 3 20200316 52-03-20200316   40    NA 2020-03-16
52 4 20200316 52-04-20200316   14    NA 2020-03-16
52 5 20200316 52-05-20200316   2    NA 2020-03-16
52 6 20200316 52-06-20200316   12    NA 2020-03-16
52 7 20200316 52-07-20200316   6    NA 2020-03-16
52 8 20200316 52-08-20200316   8    NA 2020-03-16
52 9 20200316 52-09-20200316   45    NA 2020-03-16
52 10 20200316 52-10-20200316   60    NA 2020-03-16
52 11 20200316 52-11-20200316   20    NA 2020-03-16
52 12 20200316 52-12-20200316   50    NA 2020-03-16
