id	dataset	country	commonname	cs	longitude	latitude
7378	1001G_RegMap	GER	Uk-1	CS76620_CS6879	7.7667	48.0333
7384	1001G_RegMap	NED	Ven-1	CS76624_CS22538	5.55	52.0333
7394	1001G_RegMap	POL	Wa-1	CS76626_CS6885	21	52.3
7404	1001G_RegMap	GER	Wc-1	CS76627_CS6886	10.0667	52.6
7411	1001G_RegMap	GER	Wl-0	CS76630_CS6920	10.8134	47.9299
7521	1001G_RegMap	CZE	Lp2-6	CS77052_CS22595	16.81	49.38
8214	1001G_RegMap	FRA	Gy-0	CS78901_CS22631	2	49
8230	1001G_RegMap	SWE	Algutsrum	CS76657	16.5	56.68
8231	1001G_RegMap	SWE	Brö1-6	CS76726	16	56.3
8240	1001G_RegMap	SWE	Kulturen-1	CS76987	13.196	55.705
8247	1001G_RegMap	SWE	San-2	CS77233	13.74	56.07
8249	1001G_RegMap	SWE	Vimmerby	CS78845	15.8	57.7
8311	1001G_RegMap	AUT	In-0	CS78903_CS1239	11.5	47.5
8312	1001G_RegMap	GER	Is-0	CS78904_CS1241	7.5	50.5
8351	1001G_RegMap	SWE	Ost-0	CS77154_CS1431	18.37	60.25
8354	1001G_RegMap	RUS	Per-1	CS76571_CS1445	56.3167	58
8357	1001G_RegMap	ESP	Pla-0	CS76573_CS1459	2.25	41.5
8376	1001G_RegMap	SWE	Sanna-2	CS77234	18	62.69
8387	1001G_RegMap	SWE	St-0	CS77270_CS1535	18	59
9057	1001G_RegMap	SWE	Vinslöv	CS78847	13.9167	56.1
9058	1001G_RegMap	SWE	Västervik	CS78834	16.6333	57.75
9323	1001G_RegMap	SWE	Ådal	3	CS76644	18.336
9371	1001G_RegMap	SWE	FäL	1	CS76852	18.3175
9394	1001G	SWE	Hag-2	CS76907	16.4063	56.5804
9416	1001G_RegMap	SWE	Kru-3_Kru	3	CS76986	18.3837
9427	1001G_RegMap	SWE	Näs	2	CS77122	18.4055
9470	1001G_RegMap	SWE	Tur-4_Tur	4	CS77399	14.8043
9481	1001G_RegMap	SWE	Yst-1_Yst	1	CS78869	13.8484
9506	1001G	POR	IP-Alo-0	CS76662	-7.47	40.11
9507	1001G	POR	IP-Coa-0	CS76775	-7.5	38.45
9510	1001G	POR	IP-Rei-0	CS77208	-7.59	38.75
9512	1001G	POR	IP-Vid-1	CS78842	-7.84	38.22
9517	1001G	ESP	IP-All-0	CS76659	-7.8	42.19
9518	1001G	ESP	IP-Alm-0	CS76660	-0.36	39.88
9521	1001G	ESP	IP-Bar-1	CS76689	2.13	41.43
9522	1001G	ESP	IP-Bea-0	CS76695	-5.27	36.52
9523	1001G	ESP	IP-Ben-0	CS76700	-2.66	38.37
9524	1001G	ESP	IP-Ber-0	CS78887	-0.56	42.52
9526	1001G	ESP	IP-Cab-3	CS76738	2.39	41.54
9527	1001G	ESP	IP-Cad-0	CS76739	-5.74	40.37
9528	1001G	ESP	IP-Cal-0	CS78890	-1.37	40.94
9529	1001G	ESP	IP-Cap-1	CS76741	-3.36	36.97
9534	1001G	ESP	IP-Cmo-3	CS76774	-4.65	40.05
9535	1001G	ESP	IP-Coc-1	CS76776	3.19	42.31
9537	1001G	ESP	IP-Cum-1	CS76787	-6.66	38.07
9539	1001G	ESP	IP-Deh-1	CS76793	-6.67	40.29
9542	1001G	ESP	IP-Fun-0	CS76872	-4.05	40.79
9544	1001G	ESP	IP-Gua-1	CS76894	-5.33	39.4
9547	1001G	ESP	IP-Hor-0	CS76930	2.62	41.67
9548	1001G	ESP	IP-Hoy-0	CS76939	-5	40.4
9549	1001G	ESP	IP-Hum-2	CS76943	-3.69	42.23
9555	1001G	ESP	IP-Mar-1	CS77068	-3.93	39.58
9557	1001G	ESP	IP-Moa-0	CS77102	0.7	42.46
9559	1001G	ESP	IP-Mon-5	CS77107	-4.38	38.06
9560	1001G	ESP	IP-Mot-0	CS77109	-6.24	38.19
9562	1001G	ESP	IP-Mur-0	CS77115	2	41.67
9564	1001G	ESP	IP-Nog-17	CS77129	-1.6	40.45
9565	1001G	ESP	IP-Orb-10	CS77152	-1.23	42.97
9574	1001G	ESP	IP-Rel-0	CS77209	-2.7	38.6
9577	1001G	ESP	IP-Ria-0	CS77216	2.17	42.34
9579	1001G	ESP	IP-San-10	CS77232	-3.51	38.33
9584	1001G	ESP	IP-Stp-0	CS77283	-3.58	41.19
9586	1001G	ESP	IP-Tam-0	CS77340	-3.27	41.03
9587	1001G	ESP	IP-Tdc-0	CS77344	-1.88	41.5
9591	1001G	ESP	IP-Vad-0	CS78826	-3.59	42.86
9594	1001G	ESP	IP-Vdm-0	CS78837	1.01	42.04
9595	1001G	ESP	IP-Vdt-0	CS78838	-5.5	40.89
9596	1001G	ESP	IP-Ver-5	CS78841	-7.45	41.95
9597	1001G	ESP	IP-Vig-1	CS78843	-2.53	42.31
9598	1001G	ESP	IP-Vim-0	CS78844	-6.51	41.88
9600	1001G	ESP	IP-Vis-0	CS78848	-6.04	39.85
9602	1001G	ESP	IP-Vpa-1	CS78850	-3.96	40.5
9606	1001G	MAR	Aitba-1	CS76649	-7.45	31.48
9612	1001G	RUS	Lesno-2	CS77033	51.94	53.04
9619	1001G	RUS	Basta-1	CS76691	79.48	51.84
9625	1001G	RUS	Kolyv-2	CS76977	82.59	51.31
9629	1001G	RUS	K-oze-1	CS76957	82.18	51.35
9632	1001G	RUS	Lebja-2	CS77016	80.82	51.67
9634	1001G	RUS	Masl-1	CS77073	81.31	54.13
9637	1001G	RUS	Noveg-2	CS77132	80.85	51.77
9640	1001G	RUS	Rakit-1	CS77202	80.06	51.87
9643	1001G	RUS	Sever-1	CS77245	79.31	52.1
9649	1001G	ITA	Bivio-1	CS76713	16.17	39.13
9653	1001G	ITA	Giffo-1	CS76878	16.13	38.44
9657	1001G	ITA	Melic-1	CS77078	16.04	38.45
9659	1001G	ITA	Pigna-1	CS77177	14.18	41.18
9697	1001G	BUL	Dolen-1	CS76802	23.94	41.62
9698	1001G	BUL	Goced-1	CS76882	23.85	41.57
9699	1001G	BUL	Kolar-1	CS76974	23.14	41.37
9713	1001G	BUL	Stara-1	CS77271	25.61	42.49
9716	1001G	BUL	Leska-1-44	CS77030	24.98	41.54
