ecotype,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
88,12.71829548625,21.3179425275,54.5951218573934,636.840924750761,34.11341,-4.9339294,39.0473394,5.57484725,20.9565293333333,20.9565293333333,5.22076615,771.728781,82.809814,46.919594,16.8796769347188,234.934514,164.778798,164.778798,219.272216
108,11.7413746463042,16.054889040725,55.1960282208087,473.725977852677,26.804743,-2.2822938,29.0870368,6.78479208333333,17.6667337166667,17.6667337166667,6.10279730188333,1004.57327,110.09883,59.439373,21.2306510851298,301.11451,188.423595,188.423595,300.84484
139,11.7413746463042,16.054889040725,55.1960282208087,473.725977852677,26.804743,-2.2822938,29.0870368,6.78479208333333,17.6667337166667,17.6667337166667,6.10279730188333,1004.573282,110.09883,59.43938,21.2306492907966,301.11451,188.423602,188.423602,300.84484
159,11.5632241458333,21.3893917083333,52.7896357308712,662.715613353445,32.88426,-7.633905,40.518165,3.97151495,20.05410785,20.05410785,3.50098256666667,1064.895068,108.020584,70.4047,14.2586350092369,310.183048,224.59162,224.59162,290.982639
265,15.1422507316667,15.5670985366667,51.9257392653733,567.753684649983,30.399738,0.42019653,29.97954147,11.6884260383333,22.243496,22.243496,8.26828822666667,884.611249,119.67767,50.869858,26.4222192747639,301.21699,168.941984,168.941984,233.906465
350,12.5487212869167,21.5260680928333,53.1563596133978,682.625031257305,34.039436,-6.456317,40.495753,7.95529575,21.3186298333333,21.3186298333333,4.303652,981.578753,112.92485,59.82484,20.3332404942547,305.93696,187.716384,187.716384,272.70571
351,12.5487212869167,21.5260680928333,53.1563596133978,682.625031257305,34.039436,-6.456317,40.495753,7.95529575,21.3186298333333,21.3186298333333,4.303652,981.57874,112.92485,59.824837,20.3332403289515,305.93696,187.716381,187.716381,272.7057
403,8.25570220833333,21.2326345833333,48.2005504835355,855.755121259421,29.18194,-14.868666,44.050606,16.8864481833333,-3.02761233333333,18.4262025,-3.02761233333333,754.774005,110.934006,37.202282,33.9389476589118,276.265036,124.767818,272.464201,124.767818
410,8.11785201666667,21.1612928666667,47.9427286746376,858.372160289018,29.020489,-15.118202,44.138691,16.7647479666667,-3.23741143333333,18.2822734166667,-3.23741143333333,785.400564,118.08248,38.99721,35.4201419243205,293.11766,128.137756,287.01053,128.137756
424,8.0497077125,21.2103173416667,48.0801304968763,859.127694882068,28.948761,-15.165756,44.114517,16.7006856166667,-3.31164456666667,18.2232072833333,-3.31164456666667,782.210125,116.309006,39.113293,34.641741489185,289.198715,128.711067,284.076811,128.711067
428,8.0209205375,21.2411056083333,48.1561858883769,857.862005411502,28.902569,-15.20621,44.108779,16.6542702833333,-3.32398556666667,18.1795428333333,-3.32398556666667,778.389314,114.629776,38.93705,34.1776136800617,286.242726,128.371693,281.571326,128.371693
