id latitude longitude country name CS dataset
263 46.65 -0.25 FRA PAR-9 NA RegMap
264 45.75 4.71667 FRA PON NA RegMap
265 44.65 -1.16667 FRA PYL-6 CS77198 1001G
266 48.65 -2 FRA RAN NA RegMap
267 45.5333 4.85 FRA ROM-1 NA RegMap
268 45.5333 4.85 FRA ROM-2 NA RegMap
269 45.5333 4.85 FRA ROM-9 NA RegMap
273 46.6667 4.11667 FRA TOU-A1-105 NA RegMap
275 46.6667 4.11667 FRA TOU-A1-109 NA RegMap
277 46.6667 4.11667 FRA TOU-A1-111 NA RegMap
278 46.6667 4.11667 FRA TOU-A1-112 NA RegMap
280 46.6667 4.11667 FRA TOU-A1-114 NA RegMap
281 46.6667 4.11667 FRA TOU-A1-115 NA RegMap
282 46.6667 4.11667 FRA TOU-A1-116 NA RegMap
283 46.6667 4.11667 FRA TOU-A1-117 NA RegMap
287 46.6667 4.11667 FRA TOU-A1-120 NA RegMap
288 46.6667 4.11667 FRA TOU-A1-122 NA RegMap
290 46.6667 4.11667 FRA TOU-A1-124 NA RegMap
291 46.6667 4.11667 FRA TOU-A1-125 NA RegMap
292 46.6667 4.11667 FRA TOU-A1-128 NA RegMap
293 46.6667 4.11667 FRA TOU-A1-129 NA RegMap
295 46.6667 4.11667 FRA TOU-A1-131 NA RegMap
296 46.6667 4.11667 FRA TOU-A1-133 NA RegMap
297 46.6667 4.11667 FRA TOU-A1-134 NA RegMap
298 46.6667 4.11667 FRA TOU-A1-137 NA RegMap
302 46.6667 4.11667 FRA TOU-A1-143 NA RegMap
306 46.6667 4.11667 FRA TOU-A1-18 NA RegMap
309 46.6667 4.11667 FRA TOU-A1-23 NA RegMap
310 46.6667 4.11667 FRA TOU-A1-26 NA RegMap
311 46.6667 4.11667 FRA TOU-A1-27 NA RegMap
314 46.6667 4.11667 FRA TOU-A1-33 NA RegMap
316 46.6667 4.11667 FRA TOU-A1-37 NA RegMap
318 46.6667 4.11667 FRA TOU-A1-39 NA RegMap
320 46.6667 4.11667 FRA TOU-A1-41 NA RegMap
321 46.6667 4.11667 FRA TOU-A1-43 NA RegMap
322 46.6667 4.11667 FRA TOU-A1-45 NA RegMap
323 46.6667 4.11667 FRA TOU-A1-47 NA RegMap
326 46.6667 4.11667 FRA TOU-A1-60 NA RegMap
327 46.6667 4.11667 FRA TOU-A1-61 NA RegMap
328 46.6667 4.11667 FRA TOU-A1-62 NA RegMap
329 46.6667 4.11667 FRA TOU-A1-63 NA RegMap
331 46.6667 4.11667 FRA TOU-A1-65 NA RegMap
332 46.6667 4.11667 FRA TOU-A1-66 NA RegMap
334 46.6667 4.11667 FRA TOU-A1-68 NA RegMap
335 46.6667 4.11667 FRA TOU-A1-69 NA RegMap
337 46.6667 4.11667 FRA TOU-A1-70 NA RegMap
338 46.6667 4.11667 FRA TOU-A1-73 NA RegMap
339 46.6667 4.11667 FRA TOU-A1-74 NA RegMap
340 46.6667 4.11667 FRA TOU-A1-75 NA RegMap
341 46.6667 4.11667 FRA TOU-A1-77 NA RegMap
343 46.6667 4.11667 FRA TOU-A1-79 NA RegMap
346 46.6667 4.11667 FRA TOU-A1-81 NA RegMap
347 46.6667 4.11667 FRA TOU-A1-82 NA RegMap
348 46.6667 4.11667 FRA TOU-A1-84 NA RegMap
349 46.6667 4.11667 FRA TOU-A1-85 NA RegMap
350 46.6667 4.11667 FRA TOU-A1-88 CS77382 1001G
351 46.6667 4.11667 FRA TOU-A1-89 CS77383 1001G
355 46.6667 4.11667 FRA TOU-A1-93 NA RegMap
357 46.6667 4.11667 FRA TOU-A1-96 NA RegMap
359 46.6667 4.11667 FRA TOU-A1-98 NA RegMap
360 46.6667 4.11667 FRA TOU-C-1 NA RegMap
361 46.6667 4.11667 FRA TOU-C-2 NA RegMap
362 46.6667 4.11667 FRA TOU-C-3 NA RegMap
363 46.6667 4.11667 FRA TOU-D-1 NA RegMap
364 46.6667 4.11667 FRA TOU-D-5 NA RegMap
366 46.6667 4.11667 FRA TOU-E-11 NA RegMap
367 46.6667 4.11667 FRA TOU-E-2 NA RegMap
368 46.6667 4.11667 FRA TOU-E-7 NA RegMap
369 46.6667 4.11667 FRA TOU-F-1 NA RegMap
371 46.6667 4.11667 FRA TOU-G-1 NA RegMap
372 46.6667 4.11667 FRA TOU-H-10 NA RegMap
373 46.6667 4.11667 FRA TOU-H-12 NA RegMap
374 46.6667 4.11667 FRA TOU-H-13 NA RegMap
375 46.6667 4.11667 FRA TOU-H-3 NA RegMap
377 46.6667 4.11667 FRA TOU-I-1 NA RegMap
378 46.6667 4.11667 FRA TOU-I-17 NA RegMap
379 46.6667 4.11667 FRA TOU-I-2 NA RegMap
380 46.6667 4.11667 FRA TOU-I-6 NA RegMap
383 46.6667 4.11667 FRA TOU-J-3 NA RegMap
385 46.6667 4.11667 FRA TOU-K-2 NA RegMap
386 46.6667 4.11667 FRA TOU-K-3 NA RegMap
387 46.6667 4.11667 FRA TOU-L-10 NA RegMap
388 46.6667 4.11667 FRA TOU-L-17 NA RegMap
389 46.6667 4.11667 FRA TOU-L-5 NA RegMap
390 46.65 0.166667 FRA VOU-1 NA RegMap
391 46.65 0.166667 FRA VOU-10 NA RegMap
392 46.65 0.166667 FRA VOU-2 NA RegMap
393 46.65 0.166667 FRA VOU-4 NA RegMap
394 46.65 0.166667 FRA VOU-5 NA RegMap
395 46.65 0.166667 FRA VOU-6 NA RegMap
396 46.65 0.166667 FRA VOU-7 NA RegMap
397 46.65 0.166667 FRA VOU-8 NA RegMap
402 49.3667 16.2667 CZE Zdarec2 NA RegMap
404 49.4211 16.3497 CZE Doubravnik1 NA RegMap
407 49.4211 16.3497 CZE Doubravnik4 NA RegMap
409 49.4211 16.3497 CZE Doubravnik6 NA RegMap
410 49.4211 16.3497 CZE Doubravnik7 CS76808 1001G
413 49.4211 16.3497 CZE Doubravnik10 NA RegMap
417 49.4211 16.3497 CZE Doubravnik14 NA RegMap
421 49.4211 16.3497 CZE Doubravnik18 NA RegMap
429 49.403 16.232 CZE Borky2 NA RegMap
430 47 15.5 AUT Gr-1 CS76496 1001G
461 51.3 0.5 GBR EM-183 NA RegMap
466 51.3 0.5 GBR EM-134 NA RegMap
470 40.8313 -87.735 USA BRR4 CS78943 1001G
476 40.8313 -87.735 USA BRR12 CS78944 1001G
484 40.8313 -87.735 USA BRR23 CS78945 1001G
504 40.8313 -87.735 USA BRR57 CS78946 1001G
506 40.8313 -87.735 USA BRR60 CS78947 1001G
531 40.8313 -87.735 USA BRR107 CS78948 1001G
544 40.9076 -73.2089 USA LI-WP-039 CS78949 1001G
546 40.9076 -73.2089 USA LI-WP-041 CS78950 1001G
607 40.7777 -72.9069 USA LI-OF-002 NA RegMap
615 40.7777 -72.9069 USA LI-OF-023 NA RegMap
623 40.7777 -72.9069 USA LI-OF-042 NA RegMap
627 40.7777 -72.9069 USA LI-OF-060 NA RegMap
628 40.7777 -72.9069 USA LI-OF-061 CS78951 1001G
630 40.7777 -72.9069 USA LI-OF-065 CS77036 1001G
631 40.7777 -72.9069 USA LI-OF-066 NA RegMap
640 40.7777 -72.9069 USA LI-OF-094 NA RegMap
641 40.7777 -72.9069 USA LI-OF-095 NA RegMap
680 40.9447 -72.8615 USA LI-RR-096 CS78952 1001G
681 40.9447 -72.8615 USA LI-RR-097 CS78953 1001G
685 40.9064 -73.1493 USA LI-EF-011 CS78954 1001G
687 40.9064 -73.1493 USA LI-EF-018 CS78955 1001G
719 40.9352 -73.114 USA LI-SET-009 NA RegMap
728 40.9352 -73.114 USA LI-SET-019 CS78956 1001G
742 40.9352 -73.114 USA LI-SET-036 CS78957 1001G
763 42.3 74.3667 KGZ Kar-1 CS76522 1001G
765 42.1833 73.4 KGZ Sus-1 CS76607 1001G
766 42.5833 73.6333 KGZ Dja-1 CS76473 1001G
768 42.8 76.35 KGZ Zal-1 CS76634 1001G
772 37.35 72.4667 TJK Neo-6 CS76560 1001G
801 37.9169 -84.4639 USA KYC-33 CS76992 1001G
827 38.0786 -84.473 USA KYF-21 NA RegMap
853 41.7976 -86.6691 USA MIA-1 CS78958 1001G
854 41.7976 -86.6691 USA MIA-5 CS78959 1001G
867 41.8266 -86.4366 USA MIC-20 CS78960 1001G
868 41.8266 -86.4366 USA MIC-24 CS78961 1001G
870 41.8266 -86.4366 USA MIC-31 CS77082 1001G
895 42.5319 -72.5595 USA MAW-7 NA RegMap
915 41.8972 -71.4378 USA LIN S-5 CS77040 1001G
932 42.3634 -71.1445 USA CHA-41 CS76765 1001G
936 42.3853 -71.1173 USA FOR-5 NA RegMap
946 42.4682 -71.4158 USA CON-6 NA RegMap
957 42.1167 12.4833 ITA Belmonte-4-94 NA RegMap
996 55.383749 14.050363 SWE Ale-Stenar-50-11 NA RegMap
998 55.383749 14.050363 SWE Ale-Stenar-57-16 NA RegMap
999 55.383749 14.050363 SWE Ale-Stenar-59-18 NA RegMap
1026 55.7 14.2 SWE VM-12 NA RegMap
1061 55.7167 14.1333 SWE Brosarp-11-135 CS76727 1001G
1062 55.7167 14.1333 SWE Brosarp-15-138 CS76728 1001G
1063 55.7167 14.1333 SWE Brosarp-21-140 CS76729 1001G
1064 55.7167 14.1333 SWE Brösarp-25-142 NA RegMap
1066 55.7167 14.1333 SWE Brosarp-34-145 CS76730 1001G
1068 55.7167 14.1333 SWE Brösarp-37-149 NA RegMap
1070 55.7167 14.1333 SWE Brosarp-45-153 CS77643 1001G
1072 55.7167 14.1333 SWE Brösarp-51-157 NA RegMap
1073 55.7167 14.1333 SWE Brösarp-53-159 NA RegMap
1075 55.7167 14.1333 SWE Brösarp-63-163 NA RegMap
1132 56.6167 16.65 SWE Gårdby-17-198 NA RegMap
1153 56.7 16.5167 SWE Aledal-1-34 NA RegMap
1163 56.7 16.5167 SWE Aledal-11-63 NA RegMap
1169 56.7 16.5167 SWE Aledal-17-82 NA RegMap
1247 59.4333 17.0167 SWE Tos-31-374 NA RegMap
1256 59.4333 17.0167 SWE Tos-93-391 NA RegMap
1312 59.5667 16.8667 SWE Ängsö-57-419 NA RegMap
1313 59.5667 16.8667 SWE angso-59-422 CS77658 1001G
1317 59.5667 16.8667 SWE angso-74-430 CS76665 1001G
1318 59.5667 16.8667 SWE Ängsö-80-432 Ängsö-80-432 RegMap
1360 59.7833 17.5833 SWE Ham-2-228 NA RegMap
1362 59.7833 17.5833 SWE Ham-6-232 NA RegMap
1363 59.7833 17.5833 SWE Ham-7-233 Ham-7-233 RegMap
1366 59.7833 17.5833 SWE Ham-10-239 NA RegMap
1374 59.7833 17.5833 SWE Ham-27-256 NA RegMap
1391 59.8 17.5833 SWE Stabby-13 NA RegMap
1404 59.8 17.5833 SWE Stabby-26 NA RegMap
1409 62.8 18.2 SWE Röd-38 NA RegMap
1416 62.8 18.2 SWE Röd-45 NA RegMap
1435 62.8 18.2 SWE Röd-17-319 Röd-17-319 RegMap
1585 65.25 15.6 SWE Hen-16-268 Hen-16-268 RegMap
1612 41.9 -86.583 USA Brn-10 CS78962 1001G
1622 41.9 -86.583 USA Brn-24 CS78963 1001G
1651 43.3431 -86.4045 USA DuckLkSP38 CS78964 1001G
1652 43.3431 -86.4045 USA DuckLkSP40 CS78965 1001G
1676 41.879 -86.607 USA Haz-2 CS78966 1001G
1684 41.879 -86.607 USA Haz-10 CS78967 1001G
1716 42.405 -85.398 USA KBS-Mac-8 NA RegMap
1718 42.405 -85.398 USA KBS-Mac-15 NA RegMap
1719 42.405 -85.398 USA KBS-Mac-16 NA RegMap
1720 42.405 -85.398 USA KBS-Mac-17 NA RegMap
1722 42.405 -85.398 USA KBS-Mac-23 NA RegMap
1724 42.405 -85.398 USA KBS-Mac-28 NA RegMap
1726 42.405 -85.398 USA KBS-Mac-33 NA RegMap
1729 42.405 -85.398 USA KBS-Mac-41 NA RegMap
1730 42.405 -85.398 USA KBS-Mac-43 NA RegMap
1733 42.405 -85.398 USA KBS-Mac-53 NA RegMap
1736 42.405 -85.398 USA KBS-Mac-58 NA RegMap
1738 42.405 -85.398 USA KBS-Mac-64 NA RegMap
1739 42.405 -85.398 USA KBS-Mac-68 CS78968 1001G
1740 42.405 -85.398 USA KBS-Mac-72 NA RegMap
1741 42.405 -85.398 USA KBS-Mac-74 CS78969 1001G
1742 42.405 -85.398 USA KBS-Mac-73 NA RegMap
1743 42.405 -85.398 USA KBS-Mac-75 NA RegMap
1744 42.405 -85.398 USA KBS-Mac-76 NA RegMap
1745 42.405 -85.398 USA KBS-Mac-78 NA RegMap
1749 42.405 -85.398 USA KBS-Mac-88 NA RegMap
1750 42.405 -85.398 USA KBS-Mac-89 NA RegMap
1751 42.405 -85.398 USA KBS-Mac-91 NA RegMap
1752 42.405 -85.398 USA KBS-Mac-95 NA RegMap
1753 42.405 -85.398 USA KBS-Mac-96 NA RegMap
1756 42.184 -86.358 USA Ker-4 CS78970 1001G
1757 42.184 -86.358 USA Ker-5 CS78971 1001G
1782 42.184 -86.358 USA Ker-38 NA RegMap
1793 41.847 -86.67 USA L-R-5 CS78972 1001G
1797 41.847 -86.67 USA L-R-10 CS78973 1001G
1799 41.847 -86.67 USA L-R-12 NA RegMap
1819 41.8 -86.67 USA Lak-12 CS78974 1001G
1820 41.8 -86.67 USA Lak-13 CS78975 1001G
1834 42.051 -86.509 USA Mdn-8 CS78976 1001G
1835 42.051 -86.509 USA Mdn-10 CS78977 1001G
1850 43.595 -86.2657 USA MNF-Pot-8 NA RegMap
1851 43.595 -86.2657 USA MNF-Pot-10 CS78978 1001G
1852 43.595 -86.2657 USA MNF-Pot-15 CS78979 1001G
1857 43.595 -86.2657 USA MNF-Pot-46 NA RegMap
1858 43.595 -86.2657 USA MNF-Pot-47 NA RegMap
1859 43.595 -86.2657 USA MNF-Pot-48 NA RegMap
1862 43.595 -86.2657 USA MNF-Pot-56 NA RegMap
1864 43.595 -86.2657 USA MNF-Pot-60 NA RegMap
1865 43.595 -86.2657 USA MNF-Pot-61 NA RegMap
1867 43.595 -86.2657 USA MNF-Pot-68 NA RegMap
1868 43.595 -86.2657 USA MNF-Pot-69 NA RegMap
1871 43.595 -86.2657 USA MNF-Pot-76 NA RegMap
1873 43.595 -86.2657 USA MNF-Pot-79 NA RegMap
1874 43.595 -86.2657 USA MNF-Pot-80 NA RegMap
1890 43.5139 -86.1859 USA MNF-Riv-21 CS77101 1001G
1918 43.5139 -86.1859 USA MNF-Riv-67 NA RegMap
1926 43.5251 -86.1843 USA MNF-Che-3 NA RegMap
1936 43.5251 -86.1843 USA MNF-Che-36 NA RegMap
1938 43.5251 -86.1843 USA MNF-Che-41 NA RegMap
1941 43.5251 -86.1843 USA MNF-Che-45 NA RegMap
1942 43.5251 -86.1843 USA MNF-Che-47 CS78980 1001G
1943 43.5251 -86.1843 USA MNF-Che-49 CS78981 1001G
1948 43.5251 -86.1843 USA MNF-Che-58 NA RegMap
1949 43.5187 -86.1739 USA MNF-Jac-2 NA RegMap
1952 43.5187 -86.1739 USA MNF-Jac-9 NA RegMap
1954 43.5187 -86.1739 USA MNF-Jac-12 CS77097 1001G
1959 43.5187 -86.1739 USA MNF-Jac-21 NA RegMap
1960 43.5187 -86.1739 USA MNF-Jac-22 NA RegMap
1963 43.5187 -86.1739 USA MNF-Jac-26 NA RegMap
1965 43.5187 -86.1739 USA MNF-Jac-30 NA RegMap
