ID,match_1001G_250K,final1001G_name,final1001G_CS,final1001G_country,final1001G_latitude,final1001G_longitude,dat250K_name,dat250K_CS,dat250K_country,dat250K_latitude,dat250K_longitude,RegMap_name,RegMap_CS,RegMap_country,RegMap_latitude,RegMap_longitude,old1001G_name,old1001G_CS,old1001G_country,old1001G_latitude,old1001G_longitude
167,no,,,,,,MIB-16, ,France,47.3833,5.31667,MIB-16, ,France,47.3833,5.31667,,,,,
168,no,,,,,,MIB-17, ,France,47.3833,5.31667,MIB-17, ,France,47.3833,5.31667,,,,,
169,no,,,,,,MIB-19, ,France,47.3833,5.31667,MIB-19, ,France,47.3833,5.31667,,,,,
170,no,,,,,,MIB-2, ,France,47.3833,5.31667,MIB-2, ,France,47.3833,5.31667,,,,,
171,no,,,,,,MIB-20, ,France,47.3833,5.31667,MIB-20, ,France,47.3833,5.31667,,,,,
173,no,,,,,,MIB-22, ,France,47.3833,5.31667,MIB-22, ,France,47.3833,5.31667,,,,,
174,no,,,,,,MIB-23, ,France,47.3833,5.31667,MIB-23, ,France,47.3833,5.31667,,,,,
175,no,,,,,,MIB-24, ,France,47.3833,5.31667,MIB-24, ,France,47.3833,5.31667,,,,,
178,no,,,,,,MIB-28, ,France,47.3833,5.31667,MIB-28, ,France,47.3833,5.31667,,,,,
179,no,,,,,,MIB-29, ,France,47.3833,5.31667,MIB-29, ,France,47.3833,5.31667,,,,,
183,no,,,,,,MIB-32, ,France,47.3833,5.31667,MIB-32, ,France,47.3833,5.31667,,,,,
184,no,,,,,,MIB-33, ,France,47.3833,5.31667,MIB-33, ,France,47.3833,5.31667,,,,,
185,no,,,,,,MIB-34, ,France,47.3833,5.31667,MIB-34, ,France,47.3833,5.31667,,,,,
186,no,,,,,,MIB-35, ,France,47.3833,5.31667,MIB-35, ,France,47.3833,5.31667,,,,,
187,no,,,,,,MIB-36, ,France,47.3833,5.31667,MIB-36, ,France,47.3833,5.31667,,,,,
188,no,,,,,,MIB-37, ,France,47.3833,5.31667,MIB-37, ,France,47.3833,5.31667,,,,,
190,no,,,,,,MIB-39, ,France,47.3833,5.31667,MIB-39, ,France,47.3833,5.31667,,,,,
191,no,,,,,,MIB-40, ,France,47.3833,5.31667,MIB-40, ,France,47.3833,5.31667,,,,,
194,no,,,,,,MIB-43, ,France,47.3833,5.31667,MIB-43, ,France,47.3833,5.31667,,,,,
196,no,,,,,,MIB-47, ,France,47.3833,5.31667,MIB-47, ,France,47.3833,5.31667,,,,,
198,no,,,,,,MIB-50, ,France,47.3833,5.31667,MIB-50, ,France,47.3833,5.31667,,,,,
200,no,,,,,,MIB-54, ,France,47.3833,5.31667,MIB-54, ,France,47.3833,5.31667,,,,,
201,no,,,,,,MIB-55, ,France,47.3833,5.31667,MIB-55, ,France,47.3833,5.31667,,,,,
