CODES,SITE,PLOT,DATE,SAMPLE_ID,NUMBER_FLOWERS_COLLECTED,TO_SKIP,REPLICATES
FH,26,4,20180304,FH-26-04-20180304,33,,
FH,27,5,20180605,FH-27-05-20180605,1,,
FH,27,6,20180902,FH-27-06-20180902,2,,
FH,27,5,20190427,FH-27-05-20190427,1,,
FH,27,5,20190602,FH-27-05-20190602,1,,
FH,27,6,20190427,FH-27-06-20190427,1,,
FH,27,6,20190508,FH-27-06-20190508,1,True,
FH,28,3,20180305,FH-28-03-20180305,33,True,
FH,28,3,20180323,FH-28-03-20180323,104,,
FH,28,3,20180409,FH-28-03-20180409,94,,
FH,28,3,20180422,FH-28-03-20180422,35,,
FH,28,4,20180305,FH-28-04-20180305,55,,
FH,28,4,20180323,FH-28-04-20180323,103,,
FH,28,4,20180409,FH-28-04-20180409,67,,
FH,28,4,20180422,FH-28-04-20180422,82,,
FH,28,3,20190308,FH-28-03-20190308,3,,
FH,28,3,20190322,FH-28-03-20190322,10,,
FH,28,3,20190407,FH-28-03-20190407,19,,
FH,28,3,20190425,FH-28-03-20190425,7,,
FH,28,4,20190322,FH-28-04-20190322,8,,
FH,28,4,20190407,FH-28-04-20190407,8,,
FH,28,4,20190425,FH-28-04-20190425,2,,
FH,32,3,20180131,FH-32-03-20180131,8,,
FH,32,3,20180219,FH-32-03-20180219,65,,
FH,32,3,20180309,FH-32-03-20180309,100,,
FH,32,4,20180131,FH-32-04-20180131,18,,
FH,32,4,20180219,FH-32-04-20180219,59,,
FH,32,4,20180309,FH-32-04-20180309,100,,
FH,32,3,20190130,FH-32-03-20190130,9,,
FH,32,3,20190214,FH-32-03-20190214,57,,True
FH,32,4,20190116,FH-32-04-20190116,5,,
FH,32,4,20190130,FH-32-04-20190130,7,,
FH,33,10,20180607,FH-33-10-20180607,10,True,
FH,33,4,20190426,FH-33-04-20190426,20,,
FH,37,3,20180529,FH-37-03-20180529,55,,
FH,37,4,20180529,FH-37-04-20180529,55,,
FH,37,4,20180706,FH-37-04-20180706,5,,
FH,42,3,20180419,FH-42-03-20180419,89,,
FH,42,3,20180506,FH-42-03-20180506,3,,
FH,42,4,20180419,FH-42-04-20180419,34,,
FH,42,4,20180506,FH-42-04-20180506,3,,
FH,42,3,20190525,FH-42-03-20190525,6,,
FH,43,3,20180206,FH-43-03-20180206,6,,
FH,43,3,20180221,FH-43-03-20180221,36,,
FH,43,3,20180314,FH-43-03-20180314,42,,
FH,43,3,20180328,FH-43-03-20180328,18,True,
FH,43,4,20180206,FH-43-04-20180206,18,,
FH,43,4,20180221,FH-43-04-20180221,38,,
FH,43,4,20180314,FH-43-04-20180314,44,,
FH,43,4,20180328,FH-43-04-20180328,25,,
FH,43,3,20190328,FH-43-03-20190328,3,,
FH,43,4,20190228,FH-43-04-20190228,10,,
FH,43,4,20190314,FH-43-04-20190314,6,,
FH,43,4,20190328,FH-43-04-20190328,4,,
FH,45,3,20180411,FH-45-03-20180411,150,,
FH,45,3,20180425,FH-45-03-20180425,60,,
FH,45,4,20180411,FH-45-04-20180411,33,,
FH,45,4,20180425,FH-45-04-20180425,90,,
FH,45,3,20190215,FH-45-03-20190215,19,,
FH,45,3,20190304,FH-45-03-20190304,18,,
FH,46,3,20180404,FH-46-03-20180404,69,,
FH,46,3,20180418,FH-46-03-20180418,100,,
FH,46,3,20180502,FH-46-03-20180502,90,,
FH,46,3,20180516,FH-46-03-20180516,20,,
FH,46,4,20180404,FH-46-04-20180404,100,,
FH,46,4,20180418,FH-46-04-20180418,100,,
FH,46,4,20180502,FH-46-04-20180502,52,,
FH,46,4,20180516,FH-46-04-20180516,40,,
FH,46,3,20190410,FH-46-03-20190410,100,,
FH,46,3,20190424,FH-46-03-20190424,69,,
FH,46,3,20190508,FH-46-03-20190508,40,,
FH,46,3,20190522,FH-46-03-20190522,15,,
FH,46,4,20190410,FH-46-04-20190410,100,,
FH,46,4,20190424,FH-46-04-20190424,70,,
FH,46,4,20190508,FH-46-04-20190508,27,,
FH,46,4,20190522,FH-46-04-20190522,17,,
FH,48,3,20180618,FH-48-03-20180618,10,,
FH,48,6,20180618,FH-48-06-20180618,10,,
FH,49,3,20180409,FH-49-03-20180409,85,,
FH,49,3,20180507,FH-49-03-20180507,2,,
FH,49,4,20180409,FH-49-04-20180409,22,,
FH,49,3,20190405,FH-49-03-20190405,6,,
FH,49,3,20190417,FH-49-03-20190417,6,,
FH,49,4,20190405,FH-49-04-20190405,2,,
FH,49,4,20190417,FH-49-04-20190417,7,,
FH,49,4,20190507,FH-49-04-20190507,1,,
FH,52,4,20180417,FH-52-04-20180417,22,,
FH,52,4,20180502,FH-52-04-20180502,32,,
FH,52,6,20180502,FH-52-06-20180502,3,,
FH,52,4,20190322,FH-52-04-20190322,2,,
FH,52,4,20190402,FH-52-04-20190402,10,,
FH,52,4,20190417,FH-52-04-20190417,15,,
FH,52,4,20190426,FH-52-04-20190426,12,,
FH,52,6,20190322,FH-52-06-20190322,2,,
FH,52,6,20190417,FH-52-06-20190417,35,,
FH,52,6,20190426,FH-52-06-20190426,13,,
FH,53,3,20180413,FH-53-03-20180413,30,,
FH,53,3,20180420,FH-53-03-20180420,140,,
FH,53,3,20180504,FH-53-03-20180504,34,,
FH,53,4,20180413,FH-53-04-20180413,18,,
FH,53,4,20180420,FH-53-04-20180420,112,,
FH,53,4,20180504,FH-53-04-20180504,21,,
FH,53,3,20190405,FH-53-03-20190405,29,,
FH,53,3,20190417,FH-53-03-20190417,112,,
FH,53,3,20190426,FH-53-03-20190426,49,,
FH,53,4,20190405,FH-53-04-20190405,45,,
FH,53,4,20190417,FH-53-04-20190417,108,,
FH,53,4,20190426,FH-53-04-20190426,71,,
FH,54,3,20180115,FH-54-03-20180115,7,,
FH,54,3,20180314,FH-54-03-20180314,100,,
FH,54,3,20180328,FH-54-03-20180328,100,,
FH,54,3,20180412,FH-54-03-20180412,100,,
FH,54,3,20180427,FH-54-03-20180427,14,,
FH,54,4,20180115,FH-54-04-20180115,17,,
FH,54,4,20180314,FH-54-04-20180314,100,,
FH,54,4,20180328,FH-54-04-20180328,100,,
FH,54,4,20180412,FH-54-04-20180412,100,,
FH,54,4,20180427,FH-54-04-20180427,34,,
FH,55,3,20180222,FH-55-03-20180222,1,,
FH,55,3,20180312,FH-55-03-20180312,2,,
FH,55,3,20180326,FH-55-03-20180326,3,,
FH,55,3,20180412,FH-55-03-20180412,4,,
FH,55,4,20180312,FH-55-04-20180312,3,,
FH,55,4,20180326,FH-55-04-20180326,5,,
FH,55,4,20180412,FH-55-04-20180412,19,,
FH,55,3,20190421,FH-55-03-20190421,4,,
FH,55,3,20190506,FH-55-03-20190506,4,,
FH,55,3,20190521,FH-55-03-20190521,3,,
FH,55,4,20190405,FH-55-04-20190405,1,,
FH,55,4,20190506,FH-55-04-20190506,4,,
FH,55,4,20190521,FH-55-04-20190521,1,,
FH,57,4,20180411,FH-57-04-20180411,2,,
FH,57,4,20180425,FH-57-04-20180425,14,,
FH,57,4,20180508,FH-57-04-20180508,11,,
FH,57,4,20180523,FH-57-04-20180523,7,,
FH,57,4,20180919,FH-57-04-20180919,6,,
FH,57,4,20181003,FH-57-04-20181003,11,,
FH,57,4,20181015,FH-57-04-20181015,6,,
FH,57,4,20181030,FH-57-04-20181030,8,,
FH,57,6,20180411,FH-57-06-20180411,8,,
FH,57,6,20180425,FH-57-06-20180425,21,,
FH,57,6,20180508,FH-57-06-20180508,21,,
FH,57,6,20180523,FH-57-06-20180523,11,,
FH,57,6,20180606,FH-57-06-20180606,1,,
FH,57,6,20180919,FH-57-06-20180919,13,,
FH,57,6,20181003,FH-57-06-20181003,21,,
FH,57,6,20181015,FH-57-06-20181015,21,,
FH,57,6,20181030,FH-57-06-20181030,16,,
FH,57,6,20181114,FH-57-06-20181114,4,,
FH,57,6,20181128,FH-57-06-20181128,4,,
FH,57,4,20190116,FH-57-04-20190116,6,,
FH,57,4,20190227,FH-57-04-20190227,8,,
FH,57,4,20190313,FH-57-04-20190313,9,,
FH,57,4,20190327,FH-57-04-20190327,96,,
FH,57,4,20190410,FH-57-04-20190410,202,,
FH,57,4,20190424,FH-57-04-20190424,54,,
FH,57,4,20190508,FH-57-04-20190508,11,,
FH,57,4,20190523,FH-57-04-20190523,28,,
FH,57,4,20190605,FH-57-04-20190605,6,,
FH,57,6,20190116,FH-57-06-20190116,1,,
FH,57,6,20190227,FH-57-06-20190227,1,,
FH,57,6,20190313,FH-57-06-20190313,3,,
FH,57,6,20190327,FH-57-06-20190327,24,,
FH,57,6,20190410,FH-57-06-20190410,53,,
FH,57,6,20190424,FH-57-06-20190424,27,,
FH,57,6,20190508,FH-57-06-20190508,7,,
FH,57,6,20190523,FH-57-06-20190523,13,,
FH,57,6,20190605,FH-57-06-20190605,5,,
FH,58,3,20190607,FH-58-03-20190607,8,,
FH,58,4,20190607,FH-58-04-20190607,1,True,
FH,60,3,20180216,FH-60-03-20180216,10,,
FH,60,3,20180420,FH-60-03-20180420,10,,
FH,60,4,20180216,FH-60-04-20180216,10,,
FH,60,4,20180420,FH-60-04-20180420,10,,
FH,1,1,20200323,FH-01-01-20200323,1,,
FH,1,1,20200406,FH-01-01-20200406,6,,
FH,1,1,20200420,FH-01-01-20200420,5,,
FH,1,1,20200504,FH-01-01-20200504,6,,
FH,1,1,20200518,FH-01-01-20200518,6,,
FH,1,4,20200406,FH-01-04-20200406,2,,
FH,1,4,20200420,FH-01-04-20200420,6,,
FH,1,4,20200504,FH-01-04-20200504,7,,
FH,1,4,20200518,FH-01-04-20200518,5,,
FH,4,1,20200206,FH-04-01-20200206,40,,
FH,4,2,20200212,FH-04-02-20200212,50,,
FH,5,1,20200207,FH-05-01-20200207,105,,
FH,5,1,20200224,FH-05-01-20200224,105,,
FH,5,1,20200312,FH-05-01-20200312,105,,
FH,5,2,20200207,FH-05-02-20200207,60,,
FH,5,2,20200224,FH-05-02-20200224,105,,
FH,5,2,20200312,FH-05-02-20200312,105,,
FH,9,5,20200523,FH-09-05-20200523,4,,
FH,9,5,20200606,FH-09-05-20200606,1,,
FH,9,6,20200523,FH-09-06-20200523,1,,
FH,13,3,20200205,FH-13-03-20200205,6,,
FH,13,3,20200221,FH-13-03-20200221,7,,
FH,13,3,20200312,FH-13-03-20200312,1,,
FH,13,4,20200205,FH-13-04-20200205,1,,
FH,13,4,20200221,FH-13-04-20200221,1,,
FH,27,1,20200505,FH-27-01-20200505,1,,
FH,27,4,20200505,FH-27-04-20200505,1,,
FH,28,13,20180309,FH-28-13-20180309,90,,
FH,28,13,20180325,FH-28-13-20180325,87,,
FH,28,13,20180408,FH-28-13-20180408,34,,
FH,28,13,20180422,FH-28-13-20180422,16,,
FH,28,14,20180309,FH-28-14-20180309,119,,
FH,28,14,20180325,FH-28-14-20180325,104,,
FH,28,14,20180408,FH-28-14-20180408,94,,
FH,28,14,20180422,FH-28-14-20180422,51,,
FH,28,13,20190308,FH-28-13-20190308,1,,
FH,28,13,20190322,FH-28-13-20190322,14,,
FH,28,13,20190407,FH-28-13-20190407,1,,
FH,28,14,20190322,FH-28-14-20190322,5,,
FH,28,14,20190407,FH-28-14-20190407,8,,
FH,28,3,20200302,FH-28-03-20200302,12,,
FH,28,4,20200214,FH-28-04-20200214,4,,
FH,28,4,20200302,FH-28-04-20200302,4,,
FH,32,1,20200117,FH-32-01-20200117,8,,
FH,32,1,20200131,FH-32-01-20200131,25,,
FH,32,1,20200214,FH-32-01-20200214,41,,
FH,32,2,20200117,FH-32-02-20200117,18,,
FH,32,2,20200131,FH-32-02-20200131,80,,
FH,32,2,20200214,FH-32-02-20200214,100,,
FH,42,1,20200319,FH-42-01-20200319,13,,
FH,42,2,20200319,FH-42-02-20200319,14,,
FH,43,2,20200309,FH-43-02-20200309,22,,
FH,43,4,20200224,FH-43-04-20200224,2,,
FH,43,4,20200309,FH-43-04-20200309,13,,
FH,45,1,20200113,FH-45-01-20200113,7,,
FH,45,1,20200127,FH-45-01-20200127,12,True,
FH,45,1,20200210,FH-45-01-20200210,42,,
FH,45,1,20200225,FH-45-01-20200225,70,,
FH,45,1,20200310,FH-45-01-20200310,11,,
FH,45,2,20200210,FH-45-02-20200210,12,,
FH,45,2,20200225,FH-45-02-20200225,79,,
FH,45,2,20200310,FH-45-02-20200310,15,,
FH,46,1,20200403,FH-46-01-20200403,100,,
FH,46,1,20200417,FH-46-01-20200417,68,,
FH,46,1,20200430,FH-46-01-20200430,29,,
FH,46,1,20200515,FH-46-01-20200515,37,,
FH,46,1,20200529,FH-46-01-20200529,6,,
FH,46,2,20200403,FH-46-02-20200403,100,,
FH,46,2,20200417,FH-46-02-20200417,70,,
FH,46,2,20200430,FH-46-02-20200430,30,,
FH,46,2,20200515,FH-46-02-20200515,48,,
FH,46,2,20200529,FH-46-02-20200529,3,,
FH,48,3,20200508,FH-48-03-20200508,5,,
FH,48,4,20200508,FH-48-04-20200508,15,,
FH,52,1,20200320,FH-52-01-20200320,32,,
FH,52,1,20200327,FH-52-01-20200327,7,,
FH,52,1,20200403,FH-52-01-20200403,4,,
FH,52,2,20200320,FH-52-02-20200320,13,,
FH,52,2,20200327,FH-52-02-20200327,11,,
FH,52,2,20200403,FH-52-02-20200403,20,,
FH,53,1,20200320,FH-53-01-20200320,17,,
FH,53,1,20200408,FH-53-01-20200408,127,,
FH,53,2,20200320,FH-53-02-20200320,20,,
FH,53,2,20200408,FH-53-02-20200408,86,,
FH,54,1,20190330,FH-54-01-20190330,100,,
FH,54,1,20190418,FH-54-01-20190418,45,,
FH,54,1,20190524,FH-54-01-20190524,31,,
FH,54,2,20190330,FH-54-02-20190330,71,,
FH,54,2,20190418,FH-54-02-20190418,30,,
FH,54,2,20190524,FH-54-02-20190524,27,,
FH,54,1,20200325,FH-54-01-20200325,13,,
FH,54,1,20200408,FH-54-01-20200408,9,,
FH,54,2,20200325,FH-54-02-20200325,25,,
FH,54,2,20200408,FH-54-02-20200408,24,,
FH,55,1,20200228,FH-55-01-20200228,3,,
FH,55,2,20200214,FH-55-02-20200214,11,,
FH,55,2,20200228,FH-55-02-20200228,57,,
FH,57,1,20190807,FH-57-01-20190807,1,,
FH,57,1,20190821,FH-57-01-20190821,5,,
FH,57,1,20190905,FH-57-01-20190905,7,,
FH,57,1,20190918,FH-57-01-20190918,9,,
FH,57,1,20191002,FH-57-01-20191002,1,,
FH,57,1,20191016,FH-57-01-20191016,3,,
FH,57,3,20190821,FH-57-03-20190821,1,,
FH,57,3,20190918,FH-57-03-20190918,1,,
FH,57,1,20200708,FH-57-01-20200708,8,,
FH,57,1,20200722,FH-57-01-20200722,3,,
FH,57,1,20200902,FH-57-01-20200902,1,,
FH,57,1,20200916,FH-57-01-20200916,2,,
FH,57,1,20200930,FH-57-01-20200930,3,,
FH,57,3,20200401,FH-57-03-20200401,1,,
FH,57,3,20200415,FH-57-03-20200415,3,,
FH,57,3,20200513,FH-57-03-20200513,1,,
FH,57,3,20200722,FH-57-03-20200722,1,,
FH,57,3,20200916,FH-57-03-20200916,2,,
FH,57,3,20200930,FH-57-03-20200930,1,,
