ID	name	country	Niek has seeds	Francois has seeds	Moi seeds	notes	for_master_mix (ml)	weight
9416	Kru-3	SWE	x				2	
9427	NÃ¤s	SWE	x				2	
9470	Tur-4	SWE	x				2	
9506	IP-Alo-0	POR	x				2	
9512	IP-Vid-1	POR	x				2	
9517	IP-All-0	ESP	x				2	
9518	IP-Alm-0	ESP	x				2	
9522	IP-Bea-0	ESP	x				2	
9526	IP-Cab-3	ESP	x				2	
9528	IP-Cal-0	ESP	x				2	
9529	IP-Cap-1	ESP	x				2	
9535	IP-Coc-1	ESP	x				2	
9542	IP-Fun-0	ESP	x				2	
9547	IP-Hor-0	ESP	x				2	
9548	IP-Hoy-0	ESP	x				2	
9549	IP-Hum-2	ESP	x				2	
9562	IP-Mur-0	ESP	x	x			2	
9564	IP-Nog-17	ESP	x	x			2	
9565	IP-Orb-10	ESP	x	no			2	
9574	IP-Rel-0	ESP	x	x			2	
9577	IP-Ria-0	ESP	x	x			2	
9591	IP-Vad-0	ESP	x	x			2	
9595	IP-Vdt-0	ESP	x	x			2	
9596	IP-Ver-5	ESP	x	x			2	
9597	IP-Vig-1	ESP	x	no			2	
9598	IP-Vim-0	ESP	x	no			2	
9600	IP-Vis-0	ESP	x	no			2	
9612	Lesno-2	RUS	x	x			2	
9619	Basta-1	RUS	x	x			2	
9625	Kolyv-2	RUS	x	x			2	
9629	K-oze-1	RUS	x	x			2	
9632	Lebja-2	RUS	x	x			2	
9637	Noveg-2	RUS	x	x			2	
9640	Rakit-1	RUS	x	x			2	
9643	Sever-1	RUS	x	low			2	
9653	Giffo-1	ITA	x	x			2	
9657	Melic-1	ITA	x	x			2	
9659	Pigna-1	ITA	x	x			2	
9699	Kolar-1	BUL	x	x			2	
9713	Stara-1	BUL	x	no			2	
9719	Koren-1	BUL	x	x			2	
9723	Slavi-2	BUL	x	no			2	
9726	Faneronemi-3	GRC	x	x			2	
9736	Teiu-2	ROU	x	x			2	
9737	Ulies-1	ROU	x	low			2	
9741	Orast-1	ROU	x	x			2	
9743	Furni-1	ROU	x	x			2	
9748	Zagub-1	SRB	x	x			2	
9749	Knjas-1	SRB	x	no			2	
9758	Altai-5	CHN	x	x			2	
9759	Anz-0	IRN	x	no			2	
9774	Alt-1	GER	x	x			2	
9779	Bai-10	GER	x	x			2	
9781	Kus2-2	GER	x	x			2	
9782	Lu3-30	GER	x	x			2	
9784	Erg2-6	GER	x	x			2	
9803	MÃ¼h-2	GER	x	x			2	
9804	Obe1-15	GER	x	x			2	
9813	BI-4	GER	x	no			2	
9814	Fell1-10	GER	x	x			2	
9837	Con-0	?	x	x		not in original list 	2	
9910	BRI-2	FRA	x	x			2	
9921	?	?	x	x			2	
9925	RUM-20	FRA	x	low			2	
9933	VED-10	FRA	x	x			2	
9941	Fei-0	POR	x	x			2	
9944	Don-0	ESP	x	x			2	
9947	Ped-0	ESP	x	x			2	
10006	Kastel-1	UKR	x	low (but more will be available soon)			2	
								
							376.7	
