ID	name	country	weight_put_on_master_mix (g)	estimated number of seeds in total
9549	IP-Hum-2	ESP	0.3016	15653.04
9555	IP-Mar-1	ESP	0.325	16867.5
9557	IP-Moa-0	ESP	0.3369	17485.11
9559	IP-Mon-5	ESP	0.328	17023.2
9560	IP-Mot-0	ESP	0.2996	15549.24
9562	IP-Mur-0	ESP	0.2983	15481.77
9564	IP-Nog-17	ESP	0.3021	15678.99
9565	IP-Orb-10	ESP	0.294	15258.6
9574	IP-Rel-0	ESP	0.3016	15653.04
9577	IP-Ria-0	ESP	0.2992	15528.48
9579	IP-San-10	ESP	0.3044	15798.36
9584	IP-Stp-0	ESP	0.2979	15461.01
9586	IP-Tam-0	ESP	0.2119	10997.61
9587	IP-Tdc-0	ESP	0.3433	17817.27
9591	IP-Vad-0	ESP	0.3023	15689.37
9594	IP-Vdm-0	ESP	0.3052	15839.88
9595	IP-Vdt-0	ESP	0.2954	15331.26
9596	IP-Ver-5	ESP	0.3029	15720.51
9597	IP-Vig-1	ESP	0.3024	15694.56
9598	IP-Vim-0	ESP	0.3005	15595.95
9600	IP-Vis-0	ESP	0.3017	15658.23
9602	IP-Vpa-1	ESP	0.3198	16597.62
9606	Aitba-1	MAR	0.2903	15066.57
9612	Lesno-2	RUS	0.2992	15528.48
9619	Basta-1	RUS	0.3009	15616.71
9625	Kolyv-2	RUS	0.2984	15486.96
9629	K-oze-1	RUS	0.3027	15710.13
9632	Lebja-2	RUS	0.3027	15710.13
9634	Masl-1	RUS	0.2998	15559.62
9637	Noveg-2	RUS	0.3066	15912.54
9640	Rakit-1	RUS	0.3065	15907.35
9643	Sever-1	RUS	0.2981	15471.39
9649	Bivio-1	ITA	0.301	15621.9
9653	Giffo-1	ITA	0.3007	15606.33
9657	Melic-1	ITA	0.3026	15704.94
9659	Pigna-1	ITA	0.3004	15590.76
9697	Dolen-1	BUL	0.3037	15762.03
9698	Goced-1	BUL	0.3077	15969.63
9699	Kolar-1	BUL	0.3098	16078.62
9713	Stara-1	BUL	0.3048	15819.12
9716	Leska-1	BUL	0.302	15673.8
9719	Koren-1	BUL	0.2998	15559.62
9723	Slavi-2	BUL	0.3033	15741.27
9726	Faneronemi-3	GRC	0.3002	15580.38
9736	Teiu-2	ROU	0.3022	15684.18
9737	Ulies-1	ROU	0.2988	15507.72
9739	Toc-1	ROU	0.3033	15741.27
9741	Orast-1	ROU	0.2999	15564.81
9743	Furni-1	ROU	0.3031	15730.89
9748	Zagub-1	SRB	0.3017	15658.23
9749	Knjas-1	SRB	0.3038	15767.22
9758	Altai-5	CHN	0.3011	15627.09
9759	Anz-0	IRN	0.3053	15845.07
9761	Bilk-1	LBN	0.301	15621.9
9764	Qar-8a	LBN	0.2398	12445.62
9766	Westkar-4	KGZ	0.3028	15715.32
9769	HE-1	GER	0.2978	15455.82
9774	Alt-1	GER	0.3112	16151.28
9775	Berg-1	GER	0.2994	15538.86
9779	Bai-10	GER	0.309	16037.1
9781	Kus2-2	GER	0.3082	15995.58
9782	Lu3-30	GER	0.3002	15580.38
9784	Erg2-6	GER	0.3045	15803.55
9803	Muh-2	GER	0.3033	15741.27
