fastq sample_id sra_folder date_released id unit_seq_run release_lane
MLFH_1_2_20190429_CKDL210000711-1a-AK9787-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_1_2_20190429 2021-02-18-ath-release-03 2021-02-18 MLFH010220190429 2 L6
MLFH_1_2_20190513_CKDL210000711-1a-AK10689-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_1_2_20190513 2021-01-29-ath-release-01 2021-01-29 MLFH010220190513 1 L6
MLFH_1_2_20190513_CKDL210000711-1a-AK10689-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_1_2_20190513 2021-02-18-ath-release-03 2021-02-18 MLFH010220190513 2 L6
MLFH_1_2_20190528_CKDL210000711-1a-AK34068-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_1_2_20190528 2021-01-29-ath-release-01 2021-01-29 MLFH010220190528 1 L6
MLFH_1_2_20190528_CKDL210000711-1a-AK34068-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_1_2_20190528 2021-02-18-ath-release-03 2021-02-18 MLFH010220190528 2 L6
MLFH_2_1_20180316_CKDL210000711-1a-AK31398-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_2_1_20180316 2021-01-29-ath-release-01 2021-01-29 MLFH020120180316 1 L6
MLFH_2_1_20180316_CKDL210000711-1a-AK31398-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_2_1_20180316 2021-02-18-ath-release-03 2021-02-18 MLFH020120180316 2 L6
MLFH_2_1_20180405_CKDL210000711-1a-AK7838-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_2_1_20180405 2021-01-29-ath-release-01 2021-01-29 MLFH020120180405 1 L6
MLFH_2_1_20180405_CKDL210000711-1a-AK7838-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_2_1_20180405 2021-02-18-ath-release-03 2021-02-18 MLFH020120180405 2 L6
MLFH_2_1_20180420_CKDL210000711-1a-AK34069-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_2_1_20180420 2021-01-29-ath-release-01 2021-01-29 MLFH020120180420 1 L6
MLFH_2_1_20180420_CKDL210000711-1a-AK34069-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_2_1_20180420 2021-02-18-ath-release-03 2021-02-18 MLFH020120180420 2 L6
MLFH_2_5_20180316_CKDL210000711-1a-AK34070-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_2_5_20180316 2021-01-29-ath-release-01 2021-01-29 MLFH020520180316 1 L6
MLFH_2_5_20180316_CKDL210000711-1a-AK34070-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_2_5_20180316 2021-02-18-ath-release-03 2021-02-18 MLFH020520180316 2 L6
MLFH_2_5_20180405_CKDL210000711-1a-7UDI1539-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_2_5_20180405 2021-01-29-ath-release-01 2021-01-29 MLFH020520180405 1 L6
MLFH_2_5_20180405_CKDL210000711-1a-7UDI1539-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_2_5_20180405 2021-02-18-ath-release-03 2021-02-18 MLFH020520180405 2 L6
MLFH_2_5_20180420_CKDL210000711-1a-7UDI1971-AK8191_HFLJFCCX2_L6_1.fq.gz MLFH_2_5_20180420 2021-01-29-ath-release-01 2021-01-29 MLFH020520180420 1 L6
MLFH_2_5_20180420_CKDL210000711-1a-7UDI1971-AK8191_HFLHHCCX2_L2_1.fq.gz MLFH_2_5_20180420 2021-02-18-ath-release-03 2021-02-18 MLFH020520180420 2 L6
MLFH_2_5_20190221_CKDL210000711-1a-AK11638-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_2_5_20190221 2021-01-29-ath-release-01 2021-01-29 MLFH020520190221 1 L6
MLFH_2_5_20190221_CKDL210000711-1a-AK11638-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_2_5_20190221 2021-02-18-ath-release-03 2021-02-18 MLFH020520190221 2 L6
MLFH_4_1_20180306_CKDL210000711-1a-AK33987-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_4_1_20180306 2021-01-29-ath-release-01 2021-01-29 MLFH040120180306 1 L6
MLFH_4_1_20180306_CKDL210000711-1a-AK33987-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_4_1_20180306 2021-02-18-ath-release-03 2021-02-18 MLFH040120180306 2 L6
MLFH_4_1_20180321_CKDL210000711-1a-AK28238-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_4_1_20180321 2021-01-29-ath-release-01 2021-01-29 MLFH040120180321 1 L6
MLFH_4_1_20180321_CKDL210000711-1a-AK28238-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_4_1_20180321 2021-02-18-ath-release-03 2021-02-18 MLFH040120180321 2 L6
MLFH_4_1_20190208_CKDL210000711-1a-AK34068-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_4_1_20190208 2021-01-29-ath-release-01 2021-01-29 MLFH040120190208 1 L6
MLFH_4_1_20190208_CKDL210000711-1a-AK34068-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_4_1_20190208 2021-02-18-ath-release-03 2021-02-18 MLFH040120190208 2 L6
MLFH_4_1_20190221_CKDL210000711-1a-AK31398-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_4_1_20190221 2021-01-29-ath-release-01 2021-01-29 MLFH040120190221 1 L6
MLFH_4_1_20190221_CKDL210000711-1a-AK31398-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_4_1_20190221 2021-02-18-ath-release-03 2021-02-18 MLFH040120190221 2 L6
MLFH_4_2_20180306_CKDL210000711-1a-AK9787-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_4_2_20180306 2021-01-29-ath-release-01 2021-01-29 MLFH040220180306 1 L6
MLFH_4_2_20180306_CKDL210000711-1a-AK9787-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_4_2_20180306 2021-02-18-ath-release-03 2021-02-18 MLFH040220180306 2 L6
MLFH_4_2_20180321_CKDL210000711-1a-AK10689-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_4_2_20180321 2021-01-29-ath-release-01 2021-01-29 MLFH040220180321 1 L6
MLFH_4_2_20180321_CKDL210000711-1a-AK10689-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_4_2_20180321 2021-02-18-ath-release-03 2021-02-18 MLFH040220180321 2 L6
MLFH_4_2_20190208_CKDL210000711-1a-AK7838-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_4_2_20190208 2021-01-29-ath-release-01 2021-01-29 MLFH040220190208 1 L6
MLFH_4_2_20190208_CKDL210000711-1a-AK7838-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_4_2_20190208 2021-02-18-ath-release-03 2021-02-18 MLFH040220190208 2 L6
MLFH_4_2_20190221_CKDL210000711-1a-AK34069-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_4_2_20190221 2021-01-29-ath-release-01 2021-01-29 MLFH040220190221 1 L6
MLFH_4_2_20190221_CKDL210000711-1a-AK34069-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_4_2_20190221 2021-02-18-ath-release-03 2021-02-18 MLFH040220190221 2 L6
MLFH_5_1_20180411_CKDL210000711-1a-AK34070-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_5_1_20180411 2021-01-29-ath-release-01 2021-01-29 MLFH050120180411 1 L6
MLFH_5_1_20180411_CKDL210000711-1a-AK34070-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_5_1_20180411 2021-02-18-ath-release-03 2021-02-18 MLFH050120180411 2 L6
MLFH_5_1_20180426_CKDL210000711-1a-7UDI1539-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_5_1_20180426 2021-01-29-ath-release-01 2021-01-29 MLFH050120180426 1 L6
MLFH_5_1_20180426_CKDL210000711-1a-7UDI1539-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_5_1_20180426 2021-02-18-ath-release-03 2021-02-18 MLFH050120180426 2 L6
MLFH_5_1_20190312_CKDL210000711-1a-AK33987-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_5_1_20190312 2021-01-29-ath-release-01 2021-01-29 MLFH050120190312 1 L6
MLFH_5_1_20190312_CKDL210000711-1a-AK33987-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_5_1_20190312 2021-02-18-ath-release-03 2021-02-18 MLFH050120190312 2 L6
