,id,Sequenced by,Name,Country,Lat,Long,Collector,CS Number,Admixture Group
62,1676,MPI,Haz-2,USA,41.879,-86.607,Diane Byers,CS78966,ltblu_circle
63,1684,MPI,Haz-10,USA,41.879,-86.607,Diane Byers,CS78967,ltblu_circle
64,1739,MPI,KBS-Mac-68,USA,42.405,-85.398,Diane Byers,CS78968,ltblu_circle
65,1741,MPI,KBS-Mac-74,USA,42.405,-85.398,Diane Byers,CS78969,ltblu_circle
66,1756,MPI,Ker-4,USA,42.184,-86.358,Diane Byers,CS78970,ltblu_circle
67,1757,MPI,Ker-5,USA,42.184,-86.358,Diane Byers,CS78971,ltblu_circle
68,1793,MPI,L-R-5,USA,41.847,-86.67,Diane Byers,CS78972,ltblu_circle
69,1797,MPI,L-R-10,USA,41.847,-86.67,Diane Byers,CS78973,ltblu_circle
70,1819,MPI,Lak-12,USA,41.8,-86.67,Diane Byers,CS78974,ltblu_circle
71,1820,MPI,Lak-13,USA,41.8,-86.67,Diane Byers,CS78975,ltblu_circle
72,1829,Monsanto,Mdn-1,USA,42.051,-86.509,Diane Byers,CS77077,ltblu_circle
73,1834,MPI,Mdn-8,USA,42.051,-86.509,Diane Byers,CS78976,ltblu_circle
74,1835,MPI,Mdn-10,USA,42.051,-86.509,Diane Byers,CS78977,ltblu_circle
75,1851,MPI,MNF-Pot-10,USA,43.595,-86.2657,Diane Byers,CS78978,ltblu_circle
76,1852,MPI,MNF-Pot-15,USA,43.595,-86.2657,Diane Byers,CS78979,ltblu_circle
77,1853,Monsanto,MNF-Pot-21,USA,43.595,-86.2657,Diane Byers,CS77099,ltblu_circle
78,1872,Monsanto,MNF-Pot-75,USA,43.595,-86.2657,Diane Byers,CS77100,ltblu_circle
79,1890,Monsanto,MNF-Riv-21,USA,43.5139,-86.1859,Diane Byers,CS77101,purple_circle
80,1925,Monsanto,MNF-Che-2,USA,43.5251,-86.1843,Diane Byers,CS77096,ltblu_circle
81,1942,MPI,MNF-Che-47,USA,43.5251,-86.1843,Diane Byers,CS78980,ltblu_circle
82,1943,MPI,MNF-Che-49,USA,43.5251,-86.1843,Diane Byers,CS78981,ltblu_circle
83,1954,Monsanto,MNF-Jac-12,USA,43.5187,-86.1739,Diane Byers,CS77097,ltblu_circle
84,2016,Monsanto,MNF-Pin-39,USA,43.5356,-86.1788,Diane Byers,CS77098,forbidden
85,2017,MPI,MNF-Pin-40,USA,43.5356,-86.1788,Diane Byers,CS78982,ltblu_circle
