ecotypeid,name,country,weightmasterseed,estimatedseednumber,seedsperplot
9521,IP-Bar-1,ESP,0.303,16782,17.48125
9522,IP-Bea-0,ESP,0.3009,16666,17.36041667
9523,IP-Ben-0,ESP,0.304,16837,17.53854167
9524,IP-Ber-0,ESP,0.3136,17369,18.09270833
9526,IP-Cab-3,ESP,0.2994,16582,17.27291667
9527,IP-Cad-0,ESP,0.3021,16732,17.42916667
9528,IP-Cal-0,ESP,0.3021,16732,17.42916667
9529,IP-Cap-1,ESP,0.3049,16887,17.590625
9534,IP-Cmo-3,ESP,0.306,16948,17.65416667
9535,IP-Coc-1,ESP,0.3052,16904,17.60833333
9537,IP-Cum-1,ESP,0.3015,16699,17.39479167
9539,IP-Deh-1,ESP,0.2992,16571,17.26145833
9542,IP-Fun-0,ESP,0.3983,22060,22.97916667
9544,IP-Gua-1,ESP,0.2997,16599,17.290625
9547,IP-Hor-0,ESP,0.2982,16516,17.20416667
9548,IP-Hoy-0,ESP,0.2996,16594,17.28541667
9549,IP-Hum-2,ESP,0.3016,16704,17.4
9555,IP-Mar-1,ESP,0.325,18000,18.75
9557,IP-Moa-0,ESP,0.3369,18659,19.43645833
9559,IP-Mon-5,ESP,0.328,18167,18.92395833
9560,IP-Mot-0,ESP,0.2996,16594,17.28541667
9562,IP-Mur-0,ESP,0.2983,16522,17.21041667
9564,IP-Nog-17,ESP,0.3021,16732,17.42916667
9565,IP-Orb-10,ESP,0.294,16283,16.96145833
9574,IP-Rel-0,ESP,0.3016,16704,17.4
9577,IP-Ria-0,ESP,0.2992,16571,17.26145833
9579,IP-San-10,ESP,0.3044,16859,17.56145833
9584,IP-Stp-0,ESP,0.2979,16499,17.18645833
9586,IP-Tam-0,ESP,0.2119,11736,12.225
9587,IP-Tdc-0,ESP,0.3433,19014,19.80625
9591,IP-Vad-0,ESP,0.3023,16743,17.440625
9594,IP-Vdm-0,ESP,0.3052,16904,17.60833333
9595,IP-Vdt-0,ESP,0.2954,16361,17.04270833
9596,IP-Ver-5,ESP,0.3029,16776,17.475
9597,IP-Vig-1,ESP,0.3024,16749,17.446875
9598,IP-Vim-0,ESP,0.3005,16643,17.33645833
9600,IP-Vis-0,ESP,0.3017,16710,17.40625
9602,IP-Vpa-1,ESP,0.3198,17712,18.45
9606,Aitba-1,MAR,0.2903,16078,16.74791667
9612,Lesno-2,RUS,0.2992,16571,17.26145833
9619,Basta-1,RUS,0.3009,16666,17.36041667
9625,Kolyv-2,RUS,0.2984,16527,17.215625
9629,K-oze-1,RUS,0.3027,16765,17.46354167
9632,Lebja-2,RUS,0.3027,16765,17.46354167
9634,Masl-1,RUS,0.2998,16605,17.296875
9637,Noveg-2,RUS,0.3066,16981,17.68854167
9640,Rakit-1,RUS,0.3065,16976,17.68333333
9643,Sever-1,RUS,0.2981,16510,17.19791667
9649,Bivio-1,ITA,0.301,16671,17.365625
9653,Giffo-1,ITA,0.3007,16654,17.34791667
9657,Melic-1,ITA,0.3026,16760,17.45833333
9659,Pigna-1,ITA,0.3004,16638,17.33125
9697,Dolen-1,BUL,0.3037,16821,17.521875
9698,Goced-1,BUL,0.3077,17042,17.75208333
9699,Kolar-1,BUL,0.3098,17158,17.87291667
9713,Stara-1,BUL,0.3048,16882,17.58541667
9716,Leska-1,BUL,0.302,16726,17.42291667
9719,Koren-1,BUL,0.2998,16605,17.296875
9723,Slavi-2,BUL,0.3033,16798,17.49791667
9726,Faneronemi-3,GRC,0.3002,16627,17.31979167
9736,Teiu-2,ROU,0.3022,16738,17.43541667
9737,Ulies-1,ROU,0.2988,16549,17.23854167
9739,Toc-1,ROU,0.3033,16798,17.49791667
9741,Orast-1,ROU,0.2999,16610,17.30208333
9743,Furni-1,ROU,0.3031,16787,17.48645833
9748,Zagub-1,SRB,0.3017,16710,17.40625
9749,Knjas-1,SRB,0.3038,16826,17.52708333
9758,Altai-5,CHN,0.3011,16677,17.371875
9759,Anz-0,IRN,0.3053,16909,17.61354167
9761,Bilk-1,LBN,0.301,16671,17.365625
9764,Qar-8a,LBN,0.2398,13281,13.834375
9766,Westkar-4,KGZ,0.3028,16771,17.46979167
9769,HE-1,GER,0.2978,16494,17.18125
9774,Alt-1,GER,0.3112,17236,17.95416667
9775,Berg-1,GER,0.2994,16582,17.27291667
9779,Bai-10,GER,0.309,17114,17.82708333
9781,Kus2-2,GER,0.3082,17070,17.78125
9782,Lu3-30,GER,0.3002,16627,17.31979167
9784,Erg2-6,GER,0.3045,16865,17.56770833
9803,Muh-2,GER,0.3033,16798,17.49791667
9804,Obe1-15,GER,0.31,17170,17.88541667
9813,BI-4,GER,0.3329,18438,19.20625
9814,Fell1-10,GER,0.3095,17142,17.85625
9820,Are-0,ESP,0.3158,17491,18.21979167
9837,Con-0,ESP,0.30437,16858,17.56041667
9857,Leg-0,ESP,0.3089,17109,17.821875
9879,Per-0,ESP,0.3028,16771,17.46979167
9910,BRI-2,FRA,0.3094,17136,17.85
9920,DIR-9,FRA,0.3059,16942,17.64791667
9921,FOR-23,FRA,0.3075,17031,17.740625
9925,RUM-20,FRA,0.3031,16787,17.48645833
9933,VED-10,FRA,0.3034,16804,17.50416667
9940,Toufl-1,MAR,0.3031,16787,17.48645833
9941,Fei-0,POR,0.2987,16544,17.23333333
9944,Don-0,ESP,0.301,16671,17.365625
9947,Ped-0,ESP,0.3021,16732,17.42916667
9965,Mammo-2,ITA,0.2454,13592,14.15833333
9966,Monte-1,ITA,0.1615,8945,9.317708333
9977,Vezzano2-1,ITA,0.1004,5561,5.792708333
9978,Vezzano2-2,ITA,0.066,3655,3.807291667
9985,Slavi-1,BUL,0.2487,13774,14.34791667
9992,Dog-4,TUR,0.3007,16654,17.34791667
10002,TueWa1-2,GER,0.2338,12949,13.48854167
10006,Kastel-1,UKR,0.3075,17031,17.740625
10011,Yeg-1,ARM,0.0489,2708,2.820833333
10013,Lerik1-3,AZE,0.1704,9438,9.83125
10014,Xan-1,AZE,0.3026,16760,17.45833333
100001,Ziv-24208,ISR,0.1032,5716,5.954166667
100002,Her-,ISR,0.0611,3384,3.525
